Generation,SelectionStatus,replicate,sex,id,bs,tsl1,tsw1,tsl2,tsw2,sph1,sph2,sph3,sph4,sph5,spt1,spt2,spt3,spt4,spt5,testes 1,testes 2,avgts,avgss,cbrtestes,logtestes,logsperm,logbs,bsscale
0,S,4,male,m2,0.88,0.48,0.08,0.4,0.08,35.762,34.326,39.256,29.194,32.54,263.194,273.229,260.629,288.323,270.687,0.001609143,0.001340952,0.001475048,305.428,0.113833131,-0.94373132,2.484908848,-0.055517328,
0,S,4,male,m3,0.84,0.48,0.08,0.4,0.12,32.961,25.743,29.477,31.621,24.537,239.911,206.247,250.564,271.246,259.785,0.001609143,0.003017143,0.002313143,274.4184,0.132251565,-0.878599182,2.438413228,-0.075720714,
0,S,4,male,m4,0.92,0.48,0.12,0.52,0.12,40.28,32.066,29.028,30.289,29.247,190.188,252.104,264.718,247.95,262.097,0.003620571,0.003922286,0.003771429,275.5934,0.15565699,-0.807831371,2.440268813,-0.036212173,
0,S,4,male,m5,1,0.6,0.16,0.56,0.16,25.067,34.784,25.223,32.356,24.187,269.424,276.087,272.228,205.124,248.527,0.008045714,0.007509333,0.007777524,282.6014,0.198128575,-0.703052884,2.451174309,0,
0,S,5,male,m1,0.84,0.48,0.16,0.6,0.16,33.58,32.951,27.933,38.436,38.17,251.906,250.829,274.464,246.456,256.287,0.006436571,0.008045714,0.007241143,290.2024,0.193464984,-0.713397628,2.462701,-0.075720714,
5,RS,1,male,cm3,0.855,0.475,0.19,0.456,0.152,28.763,27.45,28.356,26.398,25.884,272.128,258.928,269.193,275.66,278.453,0.008982024,0.005518555,0.00725029,298.2426,0.193546409,-0.713214882,2.474569677,-0.068033885,
5,RS,1,male,cm4,0.893,0.494,0.152,0.38,0.133,30.066,30.646,31.312,30.694,31.112,275.773,246.744,259.858,266.242,246.378,0.005978435,0.003520953,0.004749694,289.765,0.168095163,-0.774444784,2.462045927,-0.049148541,
5,RS,1,male,cm5,0.893,0.513,0.152,0.456,0.133,34.388,30.054,32.69,33.684,36.492,276.97,273.219,259.522,287.005,263.497,0.006208375,0.004225144,0.005216759,305.5042,0.173433745,-0.760866397,2.485017185,-0.049148541,
5,RS,1,male,cm6,0.874,0.475,0.171,0.456,0.171,36.247,31.691,32.36,31.549,31.332,258.483,263.766,262.675,252.686,253.302,0.007275439,0.006984422,0.007129931,290.8182,0.192469432,-0.715638234,2.463621582,-0.058488567,
5,RS,2,male,cm3,0.836,0.456,0.152,0.38,0.095,31.047,33.21,38.151,37.287,35.403,261.844,249.635,251.772,266.201,253.647,0.005518555,0.001796405,0.00365748,291.6394,0.154073278,-0.812272676,2.464846196,-0.077793723,
5,RS,2,male,cm4,0.855,0.475,0.171,0.456,0.19,34.077,32.86,32.231,32.559,33.444,242.072,280.521,246.621,285.335,249.991,0.007275439,0.008622743,0.007949091,293.9422,0.199574856,-0.699894176,2.46826194,-0.068033885,
5,RS,2,male,cm5,0.874,0.418,0.171,0.437,0.171,35.29,34.566,33.605,35.228,34.267,243.48,272.867,279.458,289.028,281.464,0.006402387,0.006693404,0.006547895,307.8506,0.187082821,-0.72796609,2.488340004,-0.058488567,
5,RS,2,male,cm6,0.836,0.399,0.152,0.342,0.114,35.639,29.346,34.573,37.461,35.718,272.879,261.103,281.728,274.321,267.917,0.004828736,0.002328141,0.003578438,306.137,0.152955293,-0.815435489,2.485915822,-0.077793723,
5,RS,2,male,cm7,0.798,0.418,0.152,0.304,0.076,30.661,32.552,28.107,28.802,33.067,250.147,246.152,279.449,282.105,273.444,0.005058676,0.000919759,0.002989218,296.8972,0.14405196,-0.841480827,2.472606102,-0.097997109,
5,RS,2,male,cm8,0.798,0.437,0.133,0.38,0.152,29.034,34.261,33.76,34.185,33.585,268.736,239.306,277.024,270.984,276.837,0.004049096,0.004598796,0.004323946,299.5424,0.162914634,-0.788039904,2.476458305,-0.097997109,
5,RS,3,male,cm1,0.893,0.456,0.152,0.456,0.171,34.964,30.845,30.65,31.358,34.56,277.213,278.011,280.294,271.911,254.314,0.005518555,0.006984422,0.006251489,304.824,0.184216198,-0.734672186,2.484049158,-0.049148541,
5,RS,3,male,cm3,0.855,0.475,0.152,0.418,0.171,28.018,27.028,27.816,30.623,34.257,277.867,270.347,279.285,280.351,239.83,0.005748495,0.006402387,0.006075441,299.0844,0.182470474,-0.7388074,2.475793761,-0.068033885,
5,RS,3,male,cm4,0.893,0.475,0.152,0.456,0.152,31.436,35.652,35.075,34.723,34.79,289.522,257.77,280.558,280.911,277.743,0.005748495,0.005518555,0.005633525,311.636,0.177934468,-0.749739916,2.493647621,-0.049148541,
5,RS,3,male,cm5,0.817,0.475,0.152,0.456,0.133,35.689,37.219,39.153,33.369,35.19,260.934,257.616,265.14,265.234,272.665,0.005748495,0.004225144,0.00498682,300.4418,0.170847208,-0.767392114,2.477760355,-0.087777943,
5,RS,3,male,cm6,0.912,0.494,0.171,0.475,0.152,33.305,32.745,32.653,34.751,34.341,266.417,275.332,274.984,279.129,276.798,0.007566457,0.005748495,0.006657476,308.091,0.188120679,-0.725563462,2.488679012,-0.040005162,
5,RS,3,male,cm7,0.893,0.513,0.19,0.513,0.171,30.75,32.789,35.13,28.887,27.079,281.59,278.5,238.734,270.166,263.744,0.009700586,0.007857474,0.00877903,297.4738,0.206291901,-0.685517821,2.473448721,-0.049148541,
5,RS,5,male,cm1,0.874,0.475,0.133,0.361,0.095,34.384,31.998,32.143,30.37,30.271,274.037,266.421,276.809,264.68,262.868,0.004401192,0.001706585,0.003053888,300.7962,0.145083394,-0.838382294,2.478272345,-0.058488567,
5,RS,5,male,cm2,0.798,0.304,0.114,0.38,0.133,36.915,31.799,32.019,32.98,37.175,235.275,280.884,254.038,263.483,235.207,0.002069458,0.003520953,0.002795206,287.955,0.140865486,-0.851195403,2.459324624,-0.097997109,
5,RS,5,male,cm3,0.855,0.456,0.171,0.437,0.152,26.837,34.463,34.886,33.457,32.706,285.907,251.183,251.238,280.184,261.487,0.006984422,0.005288616,0.006136519,298.4696,0.183079908,-0.737359313,2.474900104,-0.068033885,
5,RS,5,male,cm4,0.912,0.494,0.171,0.494,0.171,34.53,34.224,32.076,38.969,31.524,251.506,250.895,257.764,253.795,249.434,0.007566457,0.007566457,0.007566457,286.9434,0.196319838,-0.707035813,2.45779624,-0.040005162,
5,RS,5,male,cm5,0.893,0.475,0.171,0.494,0.209,34.53,34.224,32.076,38.969,31.524,251.506,250.895,257.764,253.795,249.434,0.007275439,0.011302979,0.009289209,286.9434,0.210213004,-0.677340422,2.45779624,-0.049148541,
5,RS,5,male,cm6,0.912,0.57,0.171,0.57,0.19,31.3,31.684,30.271,33.333,29.484,276.694,267.085,270.256,246.222,266.478,0.008730527,0.010778429,0.009754478,296.5614,0.213665634,-0.670265324,2.472114623,-0.040005162,
5,RS,5,male,cm7,0.931,0.494,0.19,0.437,0.171,29.911,29.61,31.844,27.303,28.048,263.195,237.549,261.858,259.717,248.739,0.009341305,0.006693404,0.008017354,283.5548,0.200144516,-0.698656305,2.452637003,-0.031050319,
5,RS,5,male,cm8,0.874,0.456,0.171,0.494,0.19,33.084,32.08,27.881,32.212,32.212,249.755,273.803,264.952,275.243,253.186,0.006984422,0.009341305,0.008162863,294.8816,0.201348087,-0.696052493,2.469647674,-0.058488567,
5,RS,5,male,cm9,0.893,0.513,0.19,0.494,0.152,28.102,35.217,31.019,35.015,33.98,249.857,268.07,245.039,260.342,248.441,0.009700586,0.005978435,0.00783951,287.0164,0.198653542,-0.701903687,2.457906713,-0.049148541,
5,RS,5,male,cm10,0.874,0.475,0.171,0.475,0.152,32.351,27.443,33.091,35.582,34.624,226.103,232.737,220.37,242.783,232.476,0.007275439,0.005748495,0.006511967,263.512,0.186740021,-0.728762597,2.420800397,-0.058488567,
5,S,1,male,pm1,0.76,0.4,0.16,0.4,0.16,35.318,35.919,34.147,31.327,33.152,231.918,239.051,240.296,248.232,226.098,0.00536381,0.00536381,0.00536381,271.0916,0.175048254,-0.756842218,2.433116061,-0.119186408,
5,S,1,male,pm2,0.72,0.36,0.16,0.36,0.12,33.47,35.538,31.064,30.698,34.264,229.44,226.66,223.716,218.355,220.914,0.004827429,0.002715429,0.003771429,256.8238,0.15565699,-0.807831371,2.409635268,-0.142667504,
5,S,1,male,pm3,0.8,0.44,0.12,0.44,0.12,31.574,32.55,31,33.213,31.106,253.528,240.918,265.397,238.586,270.788,0.003318857,0.003318857,0.003318857,285.732,0.149163599,-0.826337147,2.455958881,-0.096910013,
5,S,1,male,pm4,0.76,0.4,0.2,0.36,0.2,34.699,29.083,32.082,35.548,32.005,223.464,240.566,231.658,229.222,251.553,0.008380952,0.007542857,0.007961905,267.976,0.199682034,-0.699661007,2.4280959,-0.119186408,
5,S,1,male,pm5,0.8,0.44,0.12,0.44,0.16,31.212,31.645,31.29,33.348,32.975,229.123,260.407,253.978,240.469,241.104,0.003318857,0.00590019,0.004609524,277.1102,0.166425047,-0.778781312,2.442652512,-0.096910013,
5,S,1,male,m1,0.88,0.4,0.12,0.4,0.12,31.614,35.713,29.247,27.954,31.813,280.872,272.445,297.519,275.092,229.114,0.003017143,0.003017143,0.003017143,302.2766,0.14449915,-0.840134709,2.480404529,-0.055517328,
5,S,1,male,m2,0.88,0.48,0.16,0.48,0.12,34.185,34.513,36.392,32.757,34.262,282.248,268.117,254.608,270.302,252.236,0.006436571,0.003620571,0.005028571,299.924,0.171322686,-0.766185126,2.47701122,-0.055517328,
5,S,1,male,m3,0.84,0.48,0.16,0.44,0.16,31.317,28.739,32.171,32.397,33.11,260.752,262.46,258.467,226.968,223.218,0.006436571,0.00590019,0.006168381,277.9198,0.183396227,-0.736609604,2.443919489,-0.075720714,
5,S,2,male,pm1,0.92,0.4,0.16,0.4,0.16,40.213,28.947,35.031,37.963,39.144,240.147,222.989,263.335,290.105,233.409,0.00536381,0.00536381,0.00536381,286.2566,0.175048254,-0.756842218,2.456755509,-0.036212173,
5,S,2,male,pm2,0.96,0.52,0.16,0.52,0.16,33.673,36.044,28.555,31.723,33.634,282.061,240.549,295.182,278.314,279.211,0.006972952,0.006972952,0.006972952,307.7892,0.191046418,-0.7188611,2.488253377,-0.017728767,
5,S,2,male,pm3,0.92,0.44,0.12,0.44,0.16,39.161,35.281,34.95,38.768,37.167,241.457,255.206,255,240.284,252.429,0.003318857,0.00590019,0.004609524,285.9406,0.166425047,-0.778781312,2.456275824,-0.036212173,
5,S,2,male,pm4,0.96,0.44,0.2,0.48,0.2,35.965,33.706,34.127,33.465,37.704,269.087,263.898,282.251,270.45,274.343,0.009219048,0.010057143,0.009638095,306.9992,0.212812469,-0.672002929,2.487137244,-0.017728767,
5,S,2,male,pm5,0.88,0.44,0.16,0.48,0.16,38.87,37.536,34.554,35.312,45.461,253.474,267.75,244.585,255.005,259.66,0.00590019,0.006436571,0.006168381,294.4414,0.183396227,-0.736609604,2.468998874,-0.055517328,
5,S,2,male,m1,1,0.6,0.16,0.6,0.2,31.646,30.787,35.662,37.081,31.399,258.391,287.532,276.988,271.907,276.596,0.008045714,0.012571429,0.010308571,307.5978,0.217637049,-0.662267172,2.487983225,0,
5,S,2,male,m3,0.92,0.44,0.16,0.48,0.16,31.025,31.311,33.343,33.177,30.4,280.656,275.399,280.046,282.594,287.296,0.00590019,0.006436571,0.006168381,313.0494,0.183396227,-0.736609604,2.495612876,-0.036212173,
5,S,2,male,m4,0.96,0.56,0.16,0.56,0.2,35.623,32.393,32.602,34.333,33.471,254.507,265.146,274.548,253.205,281.351,0.007509333,0.011733333,0.009621333,299.4358,0.212689028,-0.672254913,2.476303723,-0.017728767,
5,S,3,male,m1,0.96,0.52,0.16,0.48,0.16,32.66,28.907,32.975,30.503,34.759,266.644,261.605,267.751,279.893,239.47,0.006972952,0.006436571,0.006704762,295.0334,0.188565015,-0.72453888,2.469871184,-0.017728767,
5,S,3,male,m2,0.96,0.56,0.16,0.56,0.2,34.052,27.355,30.467,29.284,27.607,257.656,261.345,274.702,269.524,274.141,0.007509333,0.011733333,0.009621333,297.2266,0.212689028,-0.672254913,2.473087674,-0.017728767,
5,S,3,male,m3,0.96,0.56,0.16,0.48,0.12,28.929,34.949,32.682,34.291,35.432,254.457,259.625,275.27,265.751,253.959,0.007509333,0.003620571,0.005564952,295.069,0.177209561,-0.751512849,2.469923585,-0.017728767,
5,S,3,male,m4,0.96,0.52,0.16,0.52,0.16,30.031,30.563,32.97,28.553,27.272,243.335,267.195,250.214,259.19,262.421,0.006972952,0.006972952,0.006972952,286.3488,0.191046418,-0.7188611,2.456895367,-0.017728767,
5,S,3,male,m5,0.96,0.48,0.16,0.56,0.2,29.148,33.516,30.814,30.265,29.936,269.145,267.126,273.704,265.53,268.007,0.006436571,0.011733333,0.009084952,299.4382,0.208660808,-0.680559115,2.476307203,-0.017728767,
5,S,3,male,m6,0.96,0.48,0.2,0.48,0.2,30.293,30.293,30.928,29.92,32.907,271.986,240.051,284.001,254.923,268.237,0.010057143,0.010057143,0.010057143,294.7078,0.215853058,-0.665841794,2.46939163,-0.017728767,
5,S,3,male,m7,0.96,0.52,0.12,0.52,0.12,34.391,27.605,28.418,31.537,33.554,231.773,242.775,275.576,264.583,263.862,0.003922286,0.003922286,0.003922286,286.8148,0.157705344,-0.802153591,2.457601558,-0.017728767,
5,S,3,male,m8,0.92,0.6,0.16,0.56,0.16,27.789,29.615,28.341,27.305,32.391,271.762,260.365,268.824,274.903,281.227,0.008045714,0.007509333,0.007777524,300.5044,0.198128575,-0.703052884,2.477850835,-0.036212173,
5,S,3,male,m9,0.88,0.52,0.16,0.56,0.16,31.022,32.49,27.027,28.803,31.678,271.068,270.847,250.559,271.418,263.521,0.006972952,0.007509333,0.007241143,295.6866,0.193464984,-0.713397628,2.470831644,-0.055517328,
5,S,4,male,pm1,0.76,0.4,0.12,0.44,0.12,31.68,34.312,33.637,32.631,31.724,264.81,259.883,271.59,265.511,246.345,0.003017143,0.003318857,0.003168,294.4246,0.146868409,-0.833071609,2.468974094,-0.119186408,
5,S,4,male,pm2,0.84,0.44,0.16,0.48,0.12,31.418,34.163,33.242,32.232,31.23,247.831,219.686,276.26,267.681,266.617,0.00590019,0.003620571,0.004760381,288.072,0.168221139,-0.77411943,2.459501048,-0.075720714,
